Index,URL,HTML Folder
1,solution-way.github.io/solve-protect-self,phishing_resources/fully_downloaded_web_pages/1_github/solution-way.github.io/solve-protect-self/solve-protect-self.html
2,sites.google.com/l0gin-microsoftwebonlne.app/e5645356,phishing_resources/fully_downloaded_web_pages/2_google/sites.google.com/l0gin-microsoftwebonlne.app/e5645356/e5645356.html
5,sachin35544.github.io/Instagram-login/,phishing_resources/fully_downloaded_web_pages/5_github/sachin35544.github.io/Instagram-login/index.html
6,rivosxyz.net/login,phishing_resources/fully_downloaded_web_pages/6_rivosxyz/rivosxyz.net/login/login.html
7,ptt-goodk.top/help/,phishing_resources/fully_downloaded_web_pages/7_ptt-goodk/ptt-goodk.top/help/index.html
8,pptgovke.top/help/,phishing_resources/fully_downloaded_web_pages/8_pptgovke/pptgovke.top/help/index.html
12,pagesp99.web.app/,phishing_resources/fully_downloaded_web_pages/12_web/pagesp99.web.app/index.html
13,pagesp99.firebaseapp.com/,phishing_resources/fully_downloaded_web_pages/13_firebaseapp/pagesp99.firebaseapp.com/index.html
14,pagesp218.web.app/,phishing_resources/fully_downloaded_web_pages/14_web/pagesp218.web.app/index.html
15,pagesp218.firebaseapp.com/,phishing_resources/fully_downloaded_web_pages/15_firebaseapp/pagesp218.firebaseapp.com/index.html
16,pagesp198.web.app/,phishing_resources/fully_downloaded_web_pages/16_web/pagesp198.web.app/index.html
17,pagesp198.firebaseapp.com/,phishing_resources/fully_downloaded_web_pages/17_firebaseapp/pagesp198.firebaseapp.com/index.html
18,nyinformasjone.wpenginepowered.com/2024/id/,phishing_resources/fully_downloaded_web_pages/18_wpenginepowered/nyinformasjone.wpenginepowered.com/2024/id/index.html
19,new.welfarevideo.date/diroPugh/index.php/,phishing_resources/fully_downloaded_web_pages/19_welfarevideo/new.welfarevideo.date/diroPugh/index.php/index.html
20,myservice-mixup.com/s2.php/,phishing_resources/fully_downloaded_web_pages/20_myservice-mixup/myservice-mixup.com/s2.php/index.html
21,myservice-mixup.com/s2.php,phishing_resources/fully_downloaded_web_pages/21_myservice-mixup/myservice-mixup.com/s2.php/s2.php.html
22,myservice-ishop.com/s2.php/,phishing_resources/fully_downloaded_web_pages/22_myservice-ishop/myservice-ishop.com/s2.php/index.html
23,my-coinbasellogin-authe.webflow.io/,phishing_resources/fully_downloaded_web_pages/23_webflow/my-coinbasellogin-authe.webflow.io/index.html
26,mi-outlook-loggin.click/icloud2022-esp.php/isignesp.php/,phishing_resources/fully_downloaded_web_pages/26_mi-outlook-loggin/mi-outlook-loggin.click/icloud2022-esp.php/isignesp.php/index.html
27,midhun-chandran23.github.io/NetflixHomePage,phishing_resources/fully_downloaded_web_pages/27_github/midhun-chandran23.github.io/NetflixHomePage/NetflixHomePage.html
28,mehtem.com/index.php/,phishing_resources/fully_downloaded_web_pages/28_mehtem/mehtem.com/index.php/index.html
29,mehtem.com/index.php,phishing_resources/fully_downloaded_web_pages/29_mehtem/mehtem.com/index.php/index.php.html
31,login-att-108607.weeblysite.com/,phishing_resources/fully_downloaded_web_pages/31_weeblysite/login-att-108607.weeblysite.com/index.html
32,loc-iapplemx.info/isignesp.php,phishing_resources/fully_downloaded_web_pages/32_loc-iapplemx/loc-iapplemx.info/isignesp.php/isignesp.php.html
33,loc-iapplemx.com/icloud2022-esp.php/,phishing_resources/fully_downloaded_web_pages/33_loc-iapplemx/loc-iapplemx.com/icloud2022-esp.php/index.html
34,loc-iapple.info/isignesp.php,phishing_resources/fully_downloaded_web_pages/34_loc-iapple/loc-iapple.info/isignesp.php/isignesp.php.html
35,l.ead.me/3n4fqf6gpx8d,phishing_resources/fully_downloaded_web_pages/35_ead/l.ead.me/3n4fqf6gpx8d/3n4fqf6gpx8d.html
36,kucoin0101.com/index/index/lang/zh-cn/trade/tradelist,phishing_resources/fully_downloaded_web_pages/36_kucoin0101/kucoin0101.com/index/index/lang/zh-cn/trade/tradelist/tradelist.html
38,iteminfo.my.id/A12/check2.php,phishing_resources/fully_downloaded_web_pages/38_iteminfo/iteminfo.my.id/A12/check2.php/check2.php.html
41,ifinderhelps-imaps.support/icloud-archivos/code2022esp.php,phishing_resources/fully_downloaded_web_pages/41_ifinderhelps-imaps/ifinderhelps-imaps.support/icloud-archivos/code2022esp.php/code2022esp.php.html
42,id-lnfolcloud.us/icloud2022-esp.php/,phishing_resources/fully_downloaded_web_pages/42_id-lnfolcloud/id-lnfolcloud.us/icloud2022-esp.php/index.html
43,icoinbase-wallett.webflow.io/,phishing_resources/fully_downloaded_web_pages/43_webflow/icoinbase-wallett.webflow.io/index.html
47,h567268.linp070.arubabusiness.it/_1201290JLSD/am/infospage.php,phishing_resources/fully_downloaded_web_pages/47_arubabusiness/h567268.linp070.arubabusiness.it/_1201290JLSD/am/infospage.php/infospage.php.html
48,google.com/amp/s/pub-513415bbbd6d43e39e7853abbe68ca5a.r2.dev/jj.html,phishing_resources/fully_downloaded_web_pages/48_google/google.com/amp/s/pub-513415bbbd6d43e39e7853abbe68ca5a.r2.dev/jj.html
50,google.com/amp/s/dicohas.ac.tz/fc/,phishing_resources/fully_downloaded_web_pages/50_google/google.com/amp/s/dicohas.ac.tz/fc/index.html
51,google.com/amp/s/cloudflare-ipfs.com/ipfs/QmaQvXhyT6QD3s3PM15Qmr5zVn79YMLJ7ZNBiXTzy7xmyG/,phishing_resources/fully_downloaded_web_pages/51_google/google.com/amp/s/cloudflare-ipfs.com/ipfs/QmaQvXhyT6QD3s3PM15Qmr5zVn79YMLJ7ZNBiXTzy7xmyG/index.html
57,fwadfwagr.firebaseapp.com/,phishing_resources/fully_downloaded_web_pages/57_firebaseapp/fwadfwagr.firebaseapp.com/index.html
58,find-notify.sa.com/icloud2022-esp.php/isignesp.php,phishing_resources/fully_downloaded_web_pages/58_sa/find-notify.sa.com/icloud2022-esp.php/isignesp.php/isignesp.php.html
59,findmy-ar.ru.com/icloud2022-esp.php/,phishing_resources/fully_downloaded_web_pages/59_ru/findmy-ar.ru.com/icloud2022-esp.php/index.html
60,findmy-ar.click/icloud2022-esp.php/isignesp.php,phishing_resources/fully_downloaded_web_pages/60_findmy-ar/findmy-ar.click/icloud2022-esp.php/isignesp.php/isignesp.php.html
61,findmy-ar.click/icloud2022-esp.php/,phishing_resources/fully_downloaded_web_pages/61_findmy-ar/findmy-ar.click/icloud2022-esp.php/index.html
63,f002.backblazeb2.com/file/bellexploringdatabase/Bell+(0)bab.html,phishing_resources/fully_downloaded_web_pages/63_backblazeb2/f002.backblazeb2.com/file/bellexploringdatabase/Bell+(0)bab.html
64,epicuticular.shop/,phishing_resources/fully_downloaded_web_pages/64_epicuticular/epicuticular.shop/index.html
66,business-help-page.bond/contract/100089568507856,phishing_resources/fully_downloaded_web_pages/66_business-help-page/business-help-page.bond/contract/100089568507856/100089568507856.html
67,bafkreig7clzqebf3jp3lj3eqhovgcxq5adiypsn5bfezxqcd6sw7mj2wou.ipfs.dweb.link/,phishing_resources/fully_downloaded_web_pages/67_dweb/bafkreig7clzqebf3jp3lj3eqhovgcxq5adiypsn5bfezxqcd6sw7mj2wou.ipfs.dweb.link/index.html
68,auth-page-helper.bond/contract/100063724620904,phishing_resources/fully_downloaded_web_pages/68_auth-page-helper/auth-page-helper.bond/contract/100063724620904/100063724620904.html
69,appsconfig.info/icloud2022-esp.php/,phishing_resources/fully_downloaded_web_pages/69_appsconfig/appsconfig.info/icloud2022-esp.php/index.html
70,appsconfig.info/icloud2022-esp.php,phishing_resources/fully_downloaded_web_pages/70_appsconfig/appsconfig.info/icloud2022-esp.php/icloud2022-esp.php.html
71,akshata2696.github.io/netflixclone/,phishing_resources/fully_downloaded_web_pages/71_github/akshata2696.github.io/netflixclone/index.html
72,9523308.webku.buzz/,phishing_resources/fully_downloaded_web_pages/72_webku/9523308.webku.buzz/index.html
74,32696682.real4.biz.id/log-in.php,phishing_resources/fully_downloaded_web_pages/74_real4/32696682.real4.biz.id/log-in.php/log-in.php.html
75,30149959.webku.buzz/,phishing_resources/fully_downloaded_web_pages/75_webku/30149959.webku.buzz/index.html
76,251.242.109.208.host.secureserver.net/rmx/livepontos844/,phishing_resources/fully_downloaded_web_pages/76_secureserver/251.242.109.208.host.secureserver.net/rmx/livepontos844/index.html
77,251.242.109.208.host.secureserver.net/rmx/livepontos844,phishing_resources/fully_downloaded_web_pages/77_secureserver/251.242.109.208.host.secureserver.net/rmx/livepontos844/livepontos844.html
78,251.242.109.208.host.secureserver.net/rmx/livepontos767/,phishing_resources/fully_downloaded_web_pages/78_secureserver/251.242.109.208.host.secureserver.net/rmx/livepontos767/index.html
79,251.242.109.208.host.secureserver.net/rmx/livepontos767,phishing_resources/fully_downloaded_web_pages/79_secureserver/251.242.109.208.host.secureserver.net/rmx/livepontos767/livepontos767.html
80,251.242.109.208.host.secureserver.net/rmx/livepontos187/,phishing_resources/fully_downloaded_web_pages/80_secureserver/251.242.109.208.host.secureserver.net/rmx/livepontos187/index.html
81,251.242.109.208.host.secureserver.net/rc/,phishing_resources/fully_downloaded_web_pages/81_secureserver/251.242.109.208.host.secureserver.net/rc/index.html
82,251.242.109.208.host.secureserver.net/bm/,phishing_resources/fully_downloaded_web_pages/82_secureserver/251.242.109.208.host.secureserver.net/bm/index.html
83,pub-cee93905c94e4e5cb80e14c1663fb45a.r2.dev/dfcged.html,phishing_resources/fully_downloaded_web_pages/83_r2/pub-cee93905c94e4e5cb80e14c1663fb45a.r2.dev/dfcged.html
84,pub-bbd27a63902048e7a8a9bc25a437a6b5.r2.dev/index.html,phishing_resources/fully_downloaded_web_pages/84_r2/pub-bbd27a63902048e7a8a9bc25a437a6b5.r2.dev/index.html
85,pub-53878ba0044e41c8a01c41184598c0b5.r2.dev/xw.html,phishing_resources/fully_downloaded_web_pages/85_r2/pub-53878ba0044e41c8a01c41184598c0b5.r2.dev/xw.html
